Period,Number,Result,Timestamp
20260905100050476,8,BIG,2026-09-05 04:02:54
20260905100050477,4,SMALL,2026-09-05 04:02:54
20260905100050478,5,BIG,2026-09-05 04:02:54
20260905100050479,5,BIG,2026-09-05 04:02:54
20260905100050480,3,SMALL,2026-09-05 04:02:54
20260905100050481,7,BIG,2026-09-05 04:02:54
20260905100050482,5,BIG,2026-09-05 04:02:54
20260905100050483,0,SMALL,2026-09-05 04:02:54
20260905100050484,0,SMALL,2026-09-05 04:02:54
20260905100050485,7,BIG,2026-09-05 04:02:54
20260905100050475,1,SMALL,2026-09-05 04:02:54
20260905100050486,0,SMALL,2026-09-05 04:03:00
20260905100050487,2,SMALL,2026-09-05 04:03:29
20260905100050488,9,BIG,2026-09-05 04:03:57
20260905100050489,5,BIG,2026-09-05 04:04:31
20260905100050490,7,BIG,2026-09-05 04:05:00
20260905100050491,1,SMALL,2026-09-05 04:05:28
20260905100050492,1,SMALL,2026-09-05 04:05:57
20260905100050493,5,BIG,2026-09-05 04:06:29
20260905100050494,3,SMALL,2026-09-05 04:06:58
20260905100050495,9,BIG,2026-09-05 04:07:31
20260905100050496,9,BIG,2026-09-05 04:08:00
20260905100050497,1,SMALL,2026-09-05 04:08:28
20260905100050498,8,BIG,2026-09-05 04:08:57
20260905100050499,8,BIG,2026-09-05 04:09:31
20260905100050500,1,SMALL,2026-09-05 04:10:00
20260905100050501,6,BIG,2026-09-05 04:10:28
20260905100050502,8,BIG,2026-09-05 04:10:57
20260905100050503,0,SMALL,2026-09-05 04:11:31
20260905100050504,3,SMALL,2026-09-05 04:12:00
20260905100050505,5,BIG,2026-09-05 04:12:28
20260905100050506,7,BIG,2026-09-05 04:12:57
20260905100050507,5,BIG,2026-09-05 04:13:31
20260905100050508,3,SMALL,2026-09-05 04:14:00
20260905100050509,3,SMALL,2026-09-05 04:14:28
20260905100050510,2,SMALL,2026-09-05 04:14:57
20260905100050511,1,SMALL,2026-09-05 04:15:31
20260905100050512,0,SMALL,2026-09-05 04:16:00
20260905100050513,9,BIG,2026-09-05 04:16:28
20260905100050514,9,BIG,2026-09-05 04:16:57
20260905100050515,6,BIG,2026-09-05 04:17:31
20260905100050516,3,SMALL,2026-09-05 04:18:00
20260905100050517,4,SMALL,2026-09-05 04:18:28
20260905100050518,2,SMALL,2026-09-05 04:18:57
20260905100050519,9,BIG,2026-09-05 04:19:31
20260905100050520,1,SMALL,2026-09-05 04:19:59
20260905100050521,4,SMALL,2026-09-05 04:20:29
20260905100050522,5,BIG,2026-09-05 04:20:58
20260905100050523,3,SMALL,2026-09-05 04:21:31
20260905100050524,9,BIG,2026-09-05 04:22:00
20260905100050525,7,BIG,2026-09-05 04:22:29
20260905100050526,3,SMALL,2026-09-05 04:22:58
20260905100050527,2,SMALL,2026-09-05 04:23:31
20260905100050528,2,SMALL,2026-09-05 04:24:00
20260905100050529,2,SMALL,2026-09-05 04:24:29
20260905100050530,1,SMALL,2026-09-05 04:24:58
20260905100050531,0,SMALL,2026-09-05 04:25:31
20260905100050532,3,SMALL,2026-09-05 04:26:00
20260905100050533,4,SMALL,2026-09-05 04:26:29
20260905100050534,4,SMALL,2026-09-05 04:26:58
20260905100050535,1,SMALL,2026-09-05 04:27:31
20260905100050536,8,BIG,2026-09-05 04:28:00
20260905100050537,9,BIG,2026-09-05 04:28:29
20260905100050538,8,BIG,2026-09-05 04:28:58
20260905100050539,1,SMALL,2026-09-05 04:29:31
20260905100050540,3,SMALL,2026-09-05 04:30:00
20260905100050541,4,SMALL,2026-09-05 04:30:29
20260905100050542,0,SMALL,2026-09-05 04:30:58
20260905100050543,8,BIG,2026-09-05 04:31:31
20260905100050544,4,SMALL,2026-09-05 04:32:00
20260905100050545,5,BIG,2026-09-05 04:32:29
20260905100050546,7,BIG,2026-09-05 04:32:58
20260905100050547,4,SMALL,2026-09-05 04:33:31
20260905100050548,0,SMALL,2026-09-05 04:34:00
20260905100050549,7,BIG,2026-09-05 04:34:29
20260905100050550,2,SMALL,2026-09-05 04:34:58
20260905100050551,0,SMALL,2026-09-05 04:35:31
20260905100050552,4,SMALL,2026-09-05 04:36:00
20260905100050553,4,SMALL,2026-09-05 04:36:29
20260905100050554,5,BIG,2026-09-05 04:36:58
20260905100050555,2,SMALL,2026-09-05 04:37:27
20260905100050556,0,SMALL,2026-09-05 04:38:01
20260905100050557,5,BIG,2026-09-05 04:38:30
20260905100050558,1,SMALL,2026-09-05 04:38:59
20260905100050559,5,BIG,2026-09-05 04:39:28
20260905100050560,5,BIG,2026-09-05 04:39:57
